sekwencja,nowy_znak
MLP1454sup,B.29.25
MLP1454sup,B.31.25.B.28.30
MMPCFB3537,B.24.11
MMPCFB3537,B.29.25
MMPCFB3538,B.29.30.10
MMPCFB3538,B.24.5
MMPCFB3539,B.24.11.7
MMPCFB3539,B.29.25
MMPCFB3540inf,0
MMPCFB3540inf,A.4.47
MMPCFB3540inf,A.38
MMPCFB3540inf,C.24.1
MMPCFB3540inf,K.102.51
MMPCFB3540inf,B.31.11
MMPCFB3540inf,B.29.23
MMPCFB3540inf,A.2
MMPCFB3540inf,E.17
MMPCFB3540inf,A.36
MMPCFB3540sup,0
MMPCFB3540sup,B.31.11
MMPCFB3540sup,A.17
MMPCFB3540sup,A.2.16
MMPCFB3540sup,B.29.23.B.30
MMPCFB3540sup,A.4.47
MMPCFB3540sup,B.27.30
MMPCFB3540sup,G
MMPCFB3540sup,A.38
MMPCFB3540sup,C.24.1
MMPCFB3540sup,A.1.16
MMPCFB3540sup,B.29.23.B.30
MMPCFB3540sup,B.27.30
MMPCFB3540sup,A.2
MMPCFB3540sup,0
MMPCFB3540sup,0
MMPCFB3644,E.17
MMPCFB3644,B.29.30.10
MMPCFB3645,B.29.23
MMPCFB3645,B.24.11
MNAAH-Mo0067,C.29
MNAAH-Mo0067,E.31.22
MNAAH-Mo0067,C.27
MNAAH-Mo0067,B.24.12
MNAAH-Mo0067,G
MNAAH-Mo0067,A.4
MNAAH-Mo0067,B.29.35
MNAAH-Mo0067,B.31.21
MNAAH-Mo0075inf,A.242
MNAAH-Mo0075inf,E.31.28.47
MNAAH-Mo0075inf,B.31.21
MNAAH-Mo0075inf,B.29.30
MNAAH-Mo0075inf,A.6
MNAAH-Mo0075inf,G
MNAAH-Mo0075inf,A.38
MNAAH-Mo0075inf,B.24.28.7
MNAAH-Mo0075sup,B.24.28.7
MNAAH-Mo0075sup,A.244
MNAAH-Mo0075sup,E.31.28.47
MNAAH-Mo0075sup,B.31.21
MNAAH-Mo0075sup,B.29.30
MNAAH-Mo0075sup,A.6
MNAAH-Mo0075sup,G
MNAAH-Mo0075sup,A.38
MNAAH-Mo0087,A.44
MNAAH-Mo0087,B.29.25
MNAAH-Mo0087,A.44
MNAAH-Mo0087,B.29.25
MNAAH-Mo10398inf,A.17.47
MNAAH-Mo10398inf,C.24.1
MNAAH-Mo10398inf,B.29.30.B.25
MNAAH-Mo10398inf,A.37
MNAAH-Mo10398inf,A.19.R
MNAAH-Mo10398inf,B.24.28.R
MNAAH-Mo10398inf,E.17.47
MNAAH-Mo10398inf,C.24.1
MNAAH-Mo10398inf,A.37
MNAAH-Mo10398inf,B.29.30.B.25
MNAAH-Mo10398inf,B.24.28.R
MNAAH-Mo10398sup,C.24.1
MNAAH-Mo10398sup,B.29.25.B.30
MNAAH-Mo10398sup,A.37
MNAAH-Mo10398sup,A.19.R
MNAAH-Mo10398sup,B.24.28.R
MNAAH-Mo10398sup,E.17.47
MNAAH-Mo10398sup,C.24.1
MNAAH-Mo10398sup,A.37
MNAAH-Mo10398sup,B.29.25.B.30
MNAAH-Mo10398sup,B.24.28.R
MNAAH-Mo10398sup,A.17.47
MNAAH-Mo10400,A.38
MNAAH-Mo10400,C.24.1
MNAAH-Mo10400,B.24.11
MNAAH-Mo10400,B.27.30
MNAAH-Mo10400,A.36
MNAAH-Mo10400,G
MNAAH-Mo10400,A.6
MNAAH-Mo10400,B.31.21
MNAAH-Mo4029,B.29.30
MNAAH-Mo4029,B.24.11.7
MNAAH-Mo4029,B.29.30
MNAAH-Mo4029,B.24.11.7
MPR965,B.24.11
MPR965,B.29.23.B.25
MPR966,B.24.11
MPR966,B.29.35
MQB-MH2001.40.441inf,A.17
MQB-MH2001.40.441inf,H.24.28.7
MQB-MH2001.40.441inf,C.24.2
MQB-MH2001.40.441inf,G
MQB-MH2001.40.441inf,B.24.12
MQB-MH2001.40.441inf,B.29.25
MQB-MH2001.40.441inf,A.17
MQB-MH2001.40.441inf,H.24.28.7
MQB-MH2001.40.441inf,C.24.2
MQB-MH2001.40.441inf,G
MQB-MH2001.40.441inf,B.24.12
MQB-MH2001.40.441inf,B.29.25
MQB-MH2001.40.441sup,H.24.28.9
MQB-MH2001.40.441sup,C.24.2.3
MQB-MH2001.40.441sup,G
MQB-MH2001.40.441sup,B.24.12.R
MQB-MH2001.40.441sup,B.29.25.R
MQB-MH2001.40.441sup,A.17.3
MQB-MH2001.40.441sup,H.24.28
MQB-MH2001.40.441sup,C.24.2.3
MQB-MH2001.40.441sup,G
MQB-MH2001.40.441sup,B.24.12.R
MQB-MH2001.40.441sup,B.29.25.R
MQB-MH2001.40.441sup,A.17
MQB71.1908,B.29.35
MQB71.1908,B.24.11
MTMNA-1001-CFD15784,E.17.48
MTMNA-1001-CFD15784,B.29.23.B.25
